Frequency_Hz,Magnitude_dB,Phase_Rad
85.46,6.0206,0.0000
86.13,6.0206,0.0000
86.81,6.0206,0.0000
87.48,6.0206,0.0000
88.15,6.0206,0.0000
88.82,6.0206,0.0000
89.50,6.0206,0.0000
90.17,6.0206,0.0000
90.84,6.0206,0.0000
91.52,6.0206,0.0000
92.19,6.0206,0.0000
92.86,6.0206,0.0000
93.53,6.0206,0.0000
94.21,6.0206,0.0000
94.88,6.0206,0.0000
95.55,6.0206,0.0000
96.23,6.0206,0.0000
96.90,6.0206,0.0000
97.57,6.0206,0.0000
98.25,6.0206,0.0000
98.92,6.0206,0.0000
99.59,6.0206,0.0000
100.26,6.0206,0.0000
100.94,6.0206,0.0000
101.61,6.0206,0.0000
102.28,6.0206,0.0000
102.96,6.0206,0.0000
103.63,6.0206,0.0000
104.30,6.0206,0.0000
104.97,6.0206,0.0000
105.65,6.0206,0.0000
106.32,6.0206,0.0000
106.99,6.0206,0.0000
107.67,6.0206,0.0000
108.34,6.0206,0.0000
109.01,6.0206,0.0000
109.68,6.0206,0.0000
110.36,6.0206,0.0000
111.03,6.0206,0.0000
111.70,6.0206,0.0000
112.38,6.0206,0.0000
113.05,6.0206,0.0000
113.72,6.0206,0.0000
114.40,6.0206,0.0000
115.07,6.0206,0.0000
115.74,6.0206,0.0000
116.41,6.0206,0.0000
117.09,6.0206,0.0000
117.76,6.0206,0.0000
118.43,6.0206,0.0000
119.11,6.0206,0.0000
119.78,6.0206,0.0000
120.45,6.0206,0.0000
121.12,6.0206,0.0000
121.80,6.0206,0.0000
122.47,6.0206,0.0000
123.14,6.0206,0.0000
123.82,6.0206,0.0000
124.49,6.0206,0.0000
125.16,6.0206,0.0000
125.83,6.0206,0.0000
126.51,6.0206,0.0000
127.18,6.0206,0.0000
127.85,6.0206,0.0000
128.53,6.0206,0.0000
129.20,6.0206,0.0000
129.87,6.0206,0.0000
130.55,6.0206,0.0000
131.22,6.0206,0.0000
131.89,6.0206,0.0000
132.56,6.0206,0.0000
133.24,6.0206,0.0000
133.91,6.0206,0.0000
134.58,6.0206,0.0000
135.26,6.0206,0.0000
135.93,6.0206,0.0000
136.60,6.0206,0.0000
137.27,6.0206,0.0000
137.95,6.0206,0.0000
138.62,6.0206,0.0000
139.29,6.0206,0.0000
139.97,6.0206,0.0000
140.64,6.0206,0.0000
141.31,6.0206,0.0000
141.98,6.0206,0.0000
142.66,6.0206,0.0000
143.33,6.0206,0.0000
144.00,6.0206,0.0000
144.68,6.0206,0.0000
145.35,6.0206,0.0000
146.02,6.0206,0.0000
146.69,6.0206,0.0000
147.37,6.0206,0.0000
148.04,6.0206,0.0000
148.71,6.0206,0.0000
149.39,6.0206,0.0000
150.06,6.0206,0.0000
150.73,6.0206,0.0000
151.41,6.0206,0.0000
152.08,6.0206,0.0000
152.75,6.0206,0.0000
153.42,6.0206,0.0000
154.10,6.0206,0.0000
154.77,6.0206,0.0000
155.44,6.0206,0.0000
156.12,6.0206,0.0000
156.79,6.0206,0.0000
157.46,6.0206,0.0000
158.13,6.0206,0.0000
158.81,6.0206,0.0000
159.48,6.0206,0.0000
160.15,6.0206,0.0000
160.83,6.0206,0.0000
161.50,6.0206,0.0000
162.17,6.0206,0.0000
162.84,6.0206,0.0000
163.52,6.0206,0.0000
164.19,6.0206,0.0000
164.86,6.0206,0.0000
165.54,6.0206,0.0000
166.21,6.0206,0.0000
166.88,6.0206,0.0000
167.56,6.0206,0.0000
168.23,6.0206,0.0000
168.90,6.0206,0.0000
169.57,6.0206,0.0000
170.25,6.0206,0.0000
170.92,6.0206,0.0000
171.59,6.0206,0.0000
172.27,6.0206,0.0000
172.94,6.0206,0.0000
173.61,6.0206,0.0000
174.28,6.0206,0.0000
174.96,6.0206,0.0000
175.63,6.0206,0.0000
176.30,6.0206,0.0000
176.98,6.0206,0.0000
177.65,6.0206,0.0000
178.32,6.0206,0.0000
178.99,6.0206,0.0000
179.67,6.0206,0.0000
180.34,6.0206,0.0000
181.01,6.0206,0.0000
181.69,6.0206,0.0000
182.36,6.0206,0.0000
183.03,6.0206,0.0000
183.71,6.0206,0.0000
184.38,6.0206,0.0000
185.05,6.0206,0.0000
185.72,6.0206,0.0000
186.40,6.0206,0.0000
187.07,6.0206,0.0000
187.74,6.0206,0.0000
188.42,6.0206,0.0000
189.09,6.0206,0.0000
189.76,6.0206,0.0000
190.43,6.0206,0.0000
191.11,6.0206,0.0000
191.78,6.0206,0.0000
192.45,6.0206,0.0000
193.13,6.0206,0.0000
193.80,6.0206,0.0000
194.47,6.0206,0.0000
195.14,6.0206,0.0000
195.82,6.0206,0.0000
196.49,6.0206,0.0000
197.16,6.0206,0.0000
197.84,6.0206,0.0000
198.51,6.0206,0.0000
199.18,6.0206,0.0000
199.86,6.0206,0.0000
200.53,6.0206,0.0000
201.20,6.0206,0.0000
201.87,6.0206,0.0000
202.55,6.0206,0.0000
203.22,6.0206,0.0000
203.89,6.0206,0.0000
204.57,6.0206,0.0000
205.24,6.0206,0.0000
205.91,6.0206,0.0000
206.58,6.0206,0.0000
207.26,6.0206,0.0000
207.93,6.0206,0.0000
208.60,6.0206,0.0000
209.28,6.0206,0.0000
209.95,6.0206,0.0000
210.62,6.0206,0.0000
211.29,6.0206,0.0000
211.97,6.0206,0.0000
212.64,6.0206,0.0000
213.31,6.0206,0.0000
213.99,6.0206,0.0000
214.66,6.0206,0.0000
215.33,6.0206,0.0000
216.00,6.0206,0.0000
216.68,6.0206,0.0000
217.35,6.0206,0.0000
218.02,6.0206,0.0000
218.70,6.0206,0.0000
219.37,6.0206,0.0000
220.04,6.0206,0.0000
220.72,6.0206,0.0000
221.39,6.0206,0.0000
222.06,6.0206,0.0000
222.73,6.0206,0.0000
223.41,6.0206,0.0000
224.08,6.0206,0.0000
224.75,6.0206,0.0000
225.43,6.0206,0.0000
226.10,6.0206,0.0000
226.77,6.0206,0.0000
227.44,6.0206,0.0000
228.12,6.0206,0.0000
228.79,6.0206,0.0000
229.46,6.0206,0.0000
230.14,6.0206,0.0000
230.81,6.0206,0.0000
231.48,6.0206,0.0000
232.15,6.0206,0.0000
232.83,6.0206,0.0000
233.50,6.0206,0.0000
234.17,6.0206,0.0000
234.85,6.0206,0.0000
235.52,6.0206,0.0000
236.19,6.0206,0.0000
236.87,6.0206,0.0000
237.54,6.0206,0.0000
238.21,6.0206,0.0000
238.88,6.0206,0.0000
239.56,6.0206,0.0000
240.23,6.0206,0.0000
240.90,6.0206,0.0000
241.58,6.0206,0.0000
242.25,6.0206,0.0000
242.92,6.0206,0.0000
243.59,6.0206,0.0000
244.27,6.0206,0.0000
244.94,6.0206,0.0000
245.61,6.0206,0.0000
246.29,6.0206,0.0000
246.96,6.0206,0.0000
247.63,6.0206,0.0000
248.30,6.0206,0.0000
248.98,6.0206,0.0000
249.65,6.0206,0.0000
250.32,6.0206,0.0000
251.00,6.0206,0.0000
251.67,6.0206,0.0000
252.34,6.0206,0.0000
253.02,6.0206,0.0000
253.69,6.0206,0.0000
254.36,6.0206,0.0000
255.03,6.0206,0.0000
255.71,6.0206,0.0000
256.38,6.0206,0.0000
257.05,6.0206,0.0000
257.73,6.0206,0.0000
258.40,6.0206,0.0000
259.07,6.0206,0.0000
259.74,6.0206,0.0000
260.42,6.0206,0.0000
261.09,6.0206,0.0000
261.76,6.0206,0.0000
262.44,6.0206,0.0000
263.11,6.0206,0.0000
263.78,6.0206,0.0000
264.45,6.0206,0.0000
265.13,6.0206,0.0000
265.80,6.0206,0.0000
266.47,6.0206,0.0000
267.15,6.0206,0.0000
267.82,6.0206,0.0000
268.49,6.0206,0.0000
269.17,6.0206,0.0000
269.84,6.0206,0.0000
270.51,6.0206,0.0000
271.18,6.0206,0.0000
271.86,6.0206,0.0000
272.53,6.0206,0.0000
273.20,6.0206,0.0000
273.88,6.0206,0.0000
274.55,6.0206,0.0000
275.22,6.0206,0.0000
275.89,6.0206,0.0000
276.57,6.0206,0.0000
277.24,6.0206,0.0000
277.91,6.0206,0.0000
278.59,6.0206,0.0000
279.26,6.0206,0.0000
279.93,6.0206,0.0000
280.60,6.0206,0.0000
281.28,6.0206,0.0000
281.95,6.0206,0.0000
282.62,6.0206,0.0000
283.30,6.0206,0.0000
283.97,6.0206,0.0000
284.64,6.0206,0.0000
285.31,6.0206,0.0000
285.99,6.0206,0.0000
286.66,6.0206,0.0000
287.33,6.0206,0.0000
288.01,6.0206,0.0000
288.68,6.0206,0.0000
289.35,6.0206,0.0000
290.03,6.0206,0.0000
290.70,6.0206,0.0000
291.37,6.0206,0.0000
292.04,6.0206,0.0000
292.72,6.0206,0.0000
293.39,6.0206,0.0000
294.06,6.0206,0.0000
294.74,6.0206,0.0000
295.41,6.0206,0.0000
296.08,6.0206,0.0000
296.75,6.0206,0.0000
297.43,6.0206,0.0000
298.10,6.0206,0.0000
298.77,6.0206,0.0000
299.45,6.0206,0.0000
300.12,6.0206,0.0000
300.79,6.0206,0.0000
301.46,6.0206,0.0000
302.14,6.0206,0.0000
302.81,6.0206,0.0000
303.48,6.0206,0.0000
304.16,6.0206,0.0000
304.83,6.0206,0.0000
305.50,6.0206,0.0000
306.18,6.0206,0.0000
306.85,6.0206,0.0000
307.52,6.0206,0.0000
308.19,6.0206,0.0000
308.87,6.0206,0.0000
309.54,6.0206,0.0000
310.21,6.0206,0.0000
310.89,6.0206,0.0000
311.56,6.0206,0.0000
312.23,6.0206,0.0000
312.90,6.0206,0.0000
313.58,6.0206,0.0000
314.25,6.0206,0.0000
314.92,6.0206,0.0000
315.60,6.0206,0.0000
316.27,6.0206,0.0000
316.94,6.0206,0.0000
317.61,6.0206,0.0000
318.29,6.0206,0.0000
318.96,6.0206,0.0000
319.63,6.0206,0.0000
320.31,6.0206,0.0000
320.98,6.0206,0.0000
321.65,6.0206,0.0000
322.33,6.0206,0.0000
323.00,6.0206,0.0000
323.67,6.0206,0.0000
324.34,6.0206,0.0000
325.02,6.0206,0.0000
325.69,6.0206,0.0000
326.36,6.0206,0.0000
327.04,6.0206,0.0000
327.71,6.0206,0.0000
328.38,6.0206,0.0000
329.05,6.0206,0.0000
329.73,6.0206,0.0000
330.40,6.0206,0.0000
331.07,6.0206,0.0000
331.75,6.0206,0.0000
332.42,6.0206,0.0000
333.09,6.0206,0.0000
333.76,6.0206,0.0000
334.44,6.0206,0.0000
335.11,6.0206,0.0000
335.78,6.0206,0.0000
336.46,6.0206,0.0000
337.13,6.0206,0.0000
337.80,6.0206,0.0000
338.48,6.0206,0.0000
339.15,6.0206,0.0000
339.82,6.0206,0.0000
340.49,6.0206,0.0000
341.17,6.0206,0.0000
341.84,6.0206,0.0000
342.51,6.0206,0.0000
343.19,6.0206,0.0000
343.86,6.0206,0.0000
344.53,6.0206,0.0000
345.20,6.0206,0.0000
345.88,6.0206,0.0000
346.55,6.0206,0.0000
347.22,6.0206,0.0000
347.90,6.0206,0.0000
348.57,6.0206,0.0000
349.24,6.0206,0.0000
349.91,6.0206,0.0000
350.59,6.0206,0.0000
351.26,6.0206,0.0000
351.93,6.0206,0.0000
352.61,6.0206,0.0000
353.28,6.0206,0.0000
353.95,6.0206,0.0000
354.62,6.0206,0.0000
355.30,6.0206,0.0000
355.97,6.0206,0.0000
356.64,6.0206,0.0000
357.32,6.0206,0.0000
357.99,6.0206,0.0000
358.66,6.0206,0.0000
359.34,6.0206,0.0000
360.01,6.0206,0.0000
360.68,6.0206,0.0000
361.35,6.0206,0.0000
362.03,6.0206,0.0000
362.70,6.0206,0.0000
363.37,6.0206,0.0000
364.05,6.0206,0.0000
364.72,6.0206,0.0000
365.39,6.0206,0.0000
366.06,6.0206,0.0000
366.74,6.0206,0.0000
367.41,6.0206,0.0000
368.08,6.0206,0.0000
368.76,6.0206,0.0000
369.43,6.0206,0.0000
370.10,6.0206,0.0000
370.77,6.0206,0.0000
371.45,6.0206,0.0000
372.12,6.0206,0.0000
372.79,6.0206,0.0000
373.47,6.0206,0.0000
374.14,6.0206,0.0000
374.81,6.0206,0.0000
375.49,6.0206,0.0000
376.16,6.0206,0.0000
376.83,6.0206,0.0000
377.50,6.0206,0.0000
378.18,6.0206,0.0000
378.85,6.0206,0.0000
379.52,6.0206,0.0000
380.20,6.0206,0.0000
380.87,6.0206,0.0000
381.54,6.0206,0.0000
382.21,6.0206,0.0000
382.89,6.0206,0.0000
383.56,6.0206,0.0000
384.23,6.0206,0.0000
384.91,6.0206,0.0000
385.58,6.0206,0.0000
386.25,6.0206,0.0000
386.92,6.0206,0.0000
387.60,6.0206,0.0000
388.27,6.0206,0.0000
388.94,6.0206,0.0000
389.62,6.0206,0.0000
390.29,6.0206,0.0000
390.96,6.0206,0.0000
391.64,6.0206,0.0000
392.31,6.0206,0.0000
392.98,6.0206,0.0000
393.65,6.0206,0.0000
394.33,6.0206,0.0000
395.00,6.0206,0.0000
395.67,6.0206,0.0000
396.35,6.0206,0.0000
397.02,6.0206,0.0000
397.69,6.0206,0.0000
398.36,6.0206,0.0000
399.04,6.0206,0.0000
399.71,6.0206,0.0000
400.38,6.0206,0.0000
401.06,6.0206,0.0000
401.73,6.0206,0.0000
402.40,6.0206,0.0000
403.07,6.0206,0.0000
403.75,6.0206,0.0000
404.42,6.0206,0.0000
405.09,6.0206,0.0000
405.77,6.0206,0.0000
406.44,6.0206,0.0000
407.11,6.0206,0.0000
407.79,6.0206,0.0000
408.46,6.0206,0.0000
409.13,6.0206,0.0000
409.80,6.0206,0.0000
410.48,6.0206,0.0000
411.15,6.0206,0.0000
411.82,6.0206,0.0000
412.50,6.0206,0.0000
413.17,6.0206,0.0000
413.84,6.0206,0.0000
414.51,6.0206,0.0000
415.19,6.0206,0.0000
415.86,6.0206,0.0000
416.53,6.0206,0.0000
417.21,6.0206,0.0000
417.88,6.0206,0.0000
418.55,6.0206,0.0000
419.22,6.0206,0.0000
419.90,6.0206,0.0000
420.57,6.0206,0.0000
421.24,6.0206,0.0000
421.92,6.0206,0.0000
422.59,6.0206,0.0000
423.26,6.0206,0.0000
423.93,6.0206,0.0000
424.61,6.0206,0.0000
425.28,6.0206,0.0000
425.95,6.0206,0.0000
426.63,6.0206,0.0000
427.30,6.0206,0.0000
427.97,6.0206,0.0000
428.65,6.0206,0.0000
429.32,6.0206,0.0000
429.99,6.0206,0.0000
430.66,6.0206,0.0000
431.34,6.0206,0.0000
432.01,6.0206,0.0000
432.68,6.0206,0.0000
433.36,6.0206,0.0000
434.03,6.0206,0.0000
434.70,6.0206,0.0000
435.37,6.0206,0.0000
436.05,6.0206,0.0000
436.72,6.0206,0.0000
437.39,6.0206,0.0000
438.07,6.0206,0.0000
438.74,6.0206,0.0000
439.41,6.0206,0.0000
440.08,6.0206,0.0000
440.76,6.0206,0.0000
441.43,6.0206,0.0000
442.10,6.0206,0.0000
442.78,6.0206,0.0000
443.45,6.0206,0.0000
444.12,6.0206,0.0000
444.80,6.0206,0.0000
445.47,6.0206,0.0000
446.14,6.0206,0.0000
446.81,6.0206,0.0000
447.49,6.0206,0.0000
448.16,6.0206,0.0000
448.83,6.0206,0.0000
449.51,6.0206,0.0000
450.18,6.0206,0.0000
450.85,6.0206,0.0000
451.52,6.0206,0.0000
452.20,6.0206,0.0000
452.87,6.0206,0.0000
453.54,6.0206,0.0000
454.22,6.0206,0.0000
454.89,6.0206,0.0000
455.56,6.0206,0.0000
456.23,6.0206,0.0000
456.91,6.0206,0.0000
457.58,6.0206,0.0000
458.25,6.0206,0.0000
458.93,6.0206,0.0000
459.60,6.0206,0.0000
460.27,6.0206,0.0000
460.95,6.0206,0.0000
461.62,6.0206,0.0000
462.29,6.0206,0.0000
462.96,6.0206,0.0000
463.64,6.0206,0.0000
464.31,6.0206,0.0000
464.98,6.0206,0.0000
465.66,6.0206,0.0000
466.33,6.0206,0.0000
467.00,6.0206,0.0000
467.67,6.0206,0.0000
468.35,6.0206,0.0000
469.02,6.0206,0.0000
469.69,6.0206,0.0000
470.37,6.0206,0.0000
471.04,6.0206,0.0000
471.71,6.0206,0.0000
472.38,6.0206,0.0000
473.06,6.0206,0.0000
473.73,6.0206,0.0000
474.40,6.0206,0.0000
475.08,6.0206,0.0000
475.75,6.0206,0.0000
476.42,6.0206,0.0000
477.10,6.0206,0.0000
477.77,6.0206,0.0000
478.44,6.0206,0.0000
479.11,6.0206,0.0000
479.79,6.0206,0.0000
480.46,6.0206,0.0000
481.13,6.0206,0.0000
481.81,6.0206,0.0000
482.48,6.0206,0.0000
483.15,6.0206,0.0000
483.82,6.0206,0.0000
484.50,6.0206,0.0000
485.17,6.0206,0.0000
485.84,6.0206,0.0000
486.52,6.0206,0.0000
487.19,6.0206,0.0000
487.86,6.0206,0.0000
488.53,6.0206,0.0000
489.21,6.0206,0.0000
489.88,6.0206,0.0000
490.55,6.0206,0.0000
491.23,6.0206,0.0000
491.90,6.0206,0.0000
492.57,6.0206,0.0000
493.24,6.0206,0.0000
493.92,6.0206,0.0000
494.59,6.0206,0.0000
495.26,6.0206,0.0000
495.94,6.0206,0.0000
496.61,6.0206,0.0000
497.28,6.0206,0.0000
497.96,6.0206,0.0000
498.63,6.0206,0.0000
499.30,6.0206,0.0000
499.97,6.0206,0.0000
500.65,6.0206,0.0000
501.32,6.0206,0.0000
501.99,6.0206,0.0000
502.67,6.0206,0.0000
503.34,6.0206,0.0000
504.01,6.0206,0.0000
504.68,6.0206,0.0000
505.36,6.0206,0.0000
506.03,6.0206,0.0000
506.70,6.0206,0.0000
507.38,6.0206,0.0000
508.05,6.0206,0.0000
508.72,6.0206,0.0000
509.39,6.0206,0.0000
510.07,6.0206,0.0000
510.74,6.0206,0.0000
511.41,6.0206,0.0000
512.09,6.0206,0.0000
512.76,6.0206,0.0000
513.43,6.0206,0.0000
514.11,6.0206,0.0000
514.78,6.0206,0.0000
515.45,6.0206,0.0000
516.12,6.0206,0.0000
516.80,6.0206,0.0000
517.47,6.0206,0.0000
518.14,6.0206,0.0000
518.82,6.0206,0.0000
519.49,6.0206,0.0000
520.16,6.0206,0.0000
520.83,6.0206,0.0000
521.51,6.0206,0.0000
522.18,6.0206,0.0000
522.85,6.0206,0.0000
523.53,6.0206,0.0000
524.20,6.0206,0.0000
524.87,6.0206,0.0000
525.54,6.0206,0.0000
526.22,6.0206,0.0000
526.89,6.0206,0.0000
527.56,6.0206,0.0000
528.24,6.0206,0.0000
528.91,6.0206,0.0000
529.58,6.0206,0.0000
530.26,6.0206,0.0000
530.93,6.0206,0.0000
531.60,6.0206,0.0000
532.27,6.0206,0.0000
532.95,6.0206,0.0000
533.62,6.0206,0.0000
534.29,6.0206,0.0000
534.97,6.0206,0.0000
535.64,6.0206,0.0000
536.31,6.0206,0.0000
536.98,6.0206,0.0000
537.66,6.0206,0.0000
538.33,6.0206,0.0000
539.00,6.0206,0.0000
539.68,6.0206,0.0000
540.35,6.0206,0.0000
541.02,6.0206,0.0000
541.69,6.0206,0.0000
542.37,6.0206,0.0000
543.04,6.0206,0.0000
543.71,6.0206,0.0000
544.39,6.0206,0.0000
545.06,6.0206,0.0000
545.73,6.0206,0.0000
546.41,6.0206,0.0000
547.08,6.0206,0.0000
547.75,6.0206,0.0000
548.42,6.0206,0.0000
549.10,6.0206,0.0000
549.77,6.0206,0.0000
550.44,6.0206,0.0000
551.12,6.0206,0.0000
551.79,6.0206,0.0000
552.46,6.0206,0.0000
553.13,6.0206,0.0000
553.81,6.0206,0.0000
554.48,6.0206,0.0000
555.15,6.0206,0.0000
555.83,6.0206,0.0000
556.50,6.0206,0.0000
557.17,6.0206,0.0000
557.84,6.0206,0.0000
558.52,6.0206,0.0000
559.19,6.0206,0.0000
559.86,6.0206,0.0000
560.54,6.0206,0.0000
561.21,6.0206,0.0000
561.88,6.0206,0.0000
562.55,6.0206,0.0000
563.23,6.0206,0.0000
563.90,6.0206,0.0000
564.57,6.0206,0.0000
565.25,6.0206,0.0000
565.92,6.0206,0.0000
566.59,6.0206,0.0000
567.27,6.0206,0.0000
567.94,6.0206,0.0000
568.61,6.0206,0.0000
569.28,6.0206,0.0000
569.96,6.0206,0.0000
570.63,6.0206,0.0000
571.30,6.0206,0.0000
571.98,6.0206,0.0000
572.65,6.0206,0.0000
573.32,6.0206,0.0000
573.99,6.0206,0.0000
574.67,6.0206,0.0000
575.34,6.0206,0.0000
576.01,6.0206,0.0000
576.69,6.0206,0.0000
577.36,6.0206,0.0000
578.03,6.0206,0.0000
578.70,6.0206,0.0000
579.38,6.0206,0.0000
580.05,6.0206,0.0000
580.72,6.0206,0.0000
581.40,6.0206,0.0000
582.07,6.0206,0.0000
582.74,6.0206,0.0000
583.42,6.0206,0.0000
584.09,6.0206,0.0000
584.76,6.0206,0.0000
585.43,6.0206,0.0000
586.11,6.0206,0.0000
586.78,6.0206,0.0000
587.45,6.0206,0.0000
588.13,6.0206,0.0000
588.80,6.0206,0.0000
589.47,6.0206,0.0000
590.14,6.0206,0.0000
590.82,6.0206,0.0000
591.49,6.0206,0.0000
592.16,6.0206,0.0000
592.84,6.0206,0.0000
593.51,6.0206,0.0000
594.18,6.0206,0.0000
594.85,6.0206,0.0000
595.53,6.0206,0.0000
596.20,6.0206,0.0000
596.87,6.0206,0.0000
597.55,6.0206,0.0000
598.22,6.0206,0.0000
598.89,6.0206,0.0000
599.57,6.0206,0.0000
600.24,6.0206,0.0000
600.91,6.0206,0.0000
601.58,6.0206,0.0000
602.26,6.0206,0.0000
602.93,6.0206,0.0000
603.60,6.0206,0.0000
604.28,6.0206,0.0000
604.95,6.0206,0.0000
605.62,6.0206,0.0000
606.29,6.0206,0.0000
606.97,6.0206,0.0000
607.64,6.0206,0.0000
608.31,6.0206,0.0000
608.99,6.0206,0.0000
609.66,6.0206,0.0000
610.33,6.0206,0.0000
611.00,6.0206,0.0000
611.68,6.0206,0.0000
612.35,6.0206,0.0000
613.02,6.0206,0.0000
613.70,6.0206,0.0000
614.37,6.0206,0.0000
615.04,6.0206,0.0000
615.72,6.0206,0.0000
616.39,6.0206,0.0000
617.06,6.0206,0.0000
617.73,6.0206,0.0000
618.41,6.0206,0.0000
619.08,6.0206,0.0000
619.75,6.0206,0.0000
620.43,6.0206,0.0000
621.10,6.0206,0.0000
621.77,6.0206,0.0000
622.44,6.0206,0.0000
623.12,6.0206,0.0000
623.79,6.0206,0.0000
624.46,6.0206,0.0000
625.14,6.0206,0.0000
625.81,6.0206,0.0000
626.48,6.0206,0.0000
627.15,6.0206,0.0000
627.83,6.0206,0.0000
628.50,6.0206,0.0000
629.17,6.0206,0.0000
629.85,6.0206,0.0000
630.52,6.0206,0.0000
631.19,6.0206,0.0000
631.86,6.0206,0.0000
632.54,6.0206,0.0000
633.21,6.0206,0.0000
633.88,6.0206,0.0000
634.56,6.0206,0.0000
635.23,6.0206,0.0000
635.90,6.0206,0.0000
636.58,6.0206,0.0000
637.25,6.0206,0.0000
637.92,6.0206,0.0000
638.59,6.0206,0.0000
639.27,6.0206,0.0000
639.94,6.0206,0.0000
640.61,6.0206,0.0000
641.29,6.0206,0.0000
641.96,6.0206,0.0000
642.63,6.0206,0.0000
643.30,6.0206,0.0000
643.98,6.0206,0.0000
644.65,6.0206,0.0000
645.32,6.0206,0.0000
646.00,6.0206,0.0000
646.67,6.0206,0.0000
647.34,6.0206,0.0000
648.01,6.0206,0.0000
648.69,6.0206,0.0000
649.36,6.0206,0.0000
650.03,6.0206,0.0000
650.71,6.0206,0.0000
651.38,6.0206,0.0000
652.05,6.0206,0.0000
652.73,6.0206,0.0000
653.40,6.0206,0.0000
654.07,6.0206,0.0000
654.74,6.0206,0.0000
655.42,6.0206,0.0000
656.09,6.0206,0.0000
656.76,6.0206,0.0000
657.44,6.0206,0.0000
658.11,6.0206,0.0000
658.78,6.0206,0.0000
659.45,6.0206,0.0000
660.13,6.0206,0.0000
660.80,6.0206,0.0000
661.47,6.0206,0.0000
662.15,6.0206,0.0000
662.82,6.0206,0.0000
663.49,6.0206,0.0000
664.16,6.0206,0.0000
664.84,6.0206,0.0000
665.51,6.0206,0.0000
666.18,6.0206,0.0000
666.86,6.0206,0.0000
667.53,6.0206,0.0000
668.20,6.0206,0.0000
668.88,6.0206,0.0000
669.55,6.0206,0.0000
